---------------------------------------------------------------------------------------------------
| pred                                                                                | predCount |
===================================================================================================
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                                   | 300092    |
| <http://www.w3.org/2000/01/rdf-schema#label>                                        | 295996    |
| <http://xmlns.com/foaf/0.1/homepage>                                                | 130107    |
| <http://dbpedia.org/ontology/location>                                              | 124936    |
| <http://dbpedia.org/ontology/city>                                                  | 124689    |
| <http://dbpedia.org/property/nativename>                                            | 124687    |
| <http://dbpedia.org/property/iata>                                                  | 124686    |
| <http://dbpedia.org/ontology/iataLocationIdentifier>                                | 124685    |
| <http://dbpedia.org/property/cityServed>                                            | 124685    |
| <http://dbpedia.org/ontology/abstract>                                              | 16735     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                                       | 14725     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                                      | 14725     |
| <http://xmlns.com/foaf/0.1/name>                                                    | 8295      |
| <http://dbpedia.org/ontology/thumbnail>                                             | 7022      |
| <http://www.w3.org/2004/02/skos/core#broader>                                       | 6793      |
| <http://xmlns.com/foaf/0.1/depiction>                                               | 5419      |
| <http://dbpedia.org/ontology/birthDate>                                             | 5281      |
| <http://dbpedia.org/ontology/populationTotal>                                       | 4462      |
| <http://dbpedia.org/property/redirect>                                              | 4358      |
| <http://dbpedia.org/property/disambiguates>                                         | 4337      |
| <http://xmlns.com/foaf/0.1/page>                                                    | 4060      |
| <http://purl.org/dc/terms/subject>                                                  | 3576      |
| <http://dbpedia.org/ontology/wikiPageRedirects>                                     | 2490      |
| <http://www.w3.org/2002/07/owl#sameAs>                                              | 1779      |
| <http://dbpedia.org/property/name>                                                  | 1752      |
| <http://www.w3.org/2004/02/skos/core#prefLabel>                                     | 1662      |
| <http://www.w3.org/2000/01/rdf-schema#type>                                         | 1622      |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                                        | 1523      |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                                  | 1476      |
| <http://www.w3.org/2000/01/rdf-schema#comment>                                      | 1339      |
| <http://dbpedia.org/property/wikiPageUsesTemplate>                                  | 1122      |
| <http://dbpedia.org/ontology/influenced>                                            | 1076      |
| <http://dbpedia.org/ontology/influencedBy>                                          | 1073      |
| <http://dbpedia.org/property/influenced>                                            | 1067      |
| <http://dbpedia.org/property/influences>                                            | 1065      |
| <http://dbpedia.org/ontology/birthPlace>                                            | 1009      |
| <http://www.w3.org/2000/01/rdf-schema#subClassOf>                                   | 874       |
| <http://dbpedia.org/property/companyName>                                           | 745       |
| <http://www.georss.org/georss/point>                                                | 637       |
| <http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature>          | 506       |
| <http://dbpedia.org/ontology/wikiPageDisambiguates>                                 | 493       |
| <http://dbpedia.org/ontology/notableCommander>                                      | 382       |
| <http://dbpedia.org/ontology/hometown>                                              | 370       |
| <http://dbpedia.org/property/website>                                               | 324       |
| <http://dbpedia.org/property/birthDate>                                             | 311       |
| <http://dbpedia.org/property/deathDate>                                             | 310       |
| <http://dbpedia.org/ontology/spouse>                                                | 309       |
| <http://dbpedia.org/property/successor>                                             | 308       |
| <http://dbpedia.org/property/father>                                                | 307       |
| <http://dbpedia.org/property/imgw>                                                  | 307       |
