-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
=====================================================================================
| <http://www.w3.org/2000/01/rdf-schema#label>                          | 105376    |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                     | 74186     |
| <http://xmlns.com/foaf/0.1/homepage>                                  | 39269     |
| <http://dbpedia.org/ontology/location>                                | 24509     |
| <http://dbpedia.org/ontology/city>                                    | 24477     |
| <http://dbpedia.org/property/nativename>                              | 24471     |
| <http://dbpedia.org/ontology/iataLocationIdentifier>                  | 24470     |
| <http://dbpedia.org/property/cityServed>                              | 24470     |
| <http://dbpedia.org/property/iata>                                    | 24470     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                         | 17763     |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                        | 17763     |
| <http://dbpedia.org/ontology/abstract>                                | 15346     |
| <http://xmlns.com/foaf/0.1/depiction>                                 | 15319     |
| <http://dbpedia.org/ontology/populationTotal>                         | 15067     |
| <http://dbpedia.org/ontology/thumbnail>                               | 14925     |
| <http://dbpedia.org/property/disambiguates>                           | 14700     |
| <http://dbpedia.org/property/redirect>                                | 14700     |
| <http://dbpedia.org/ontology/team>                                    | 3455      |
| <http://www.w3.org/2000/01/rdf-schema#comment>                        | 867       |
| <http://xmlns.com/foaf/0.1/name>                                      | 867       |
| <http://www.w3.org/2002/07/owl#sameAs>                                | 768       |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                          | 739       |
| <http://www.w3.org/2002/07/owl#equivalentClass>                       | 509       |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                    | 370       |
| <http://dbpedia.org/ontology/wikiPageRedirects>                       | 367       |
| <http://dbpedia.org/ontology/birthPlace>                              | 359       |
| <http://dbpedia.org/property/wikiPageUsesTemplate>                    | 333       |
| <http://www.w3.org/2000/01/rdf-schema#subClassOf>                     | 255       |
| <http://purl.org/dc/terms/subject>                                    | 242       |
| <http://dbpedia.org/property/populationCensus>                        | 236       |
| <http://dbpedia.org/ontology/country>                                 | 214       |
| <http://dbpedia.org/property/gdpNominal>                              | 208       |
| <http://dbpedia.org/property/gdpNominalYear>                          | 208       |
| <http://dbpedia.org/ontology/wikiPageID>                              | 169       |
| <http://dbpedia.org/ontology/genre>                                   | 165       |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                            | 157       |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                      | 156       |
| <http://dbpedia.org/property/hasPhotoCollection>                      | 155       |
| <http://dbpedia.org/ontology/party>                                   | 154       |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                    | 139       |
| <http://dbpedia.org/property/name>                                    | 131       |
| <http://dbpedia.org/property/populationEstimate>                      | 101       |
| <http://dbpedia.org/ontology/birthDate>                               | 91        |
| <http://dbpedia.org/ontology/deathDate>                               | 72        |
| <http://dbpedia.org/property/caption>                                 | 70        |
| <http://dbpedia.org/property/website>                                 | 58        |
| <http://dbpedia.org/property/wordnet_type>                            | 58        |
| <http://dbpedia.org/property/title>                                   | 57        |
| <http://dbpedia.org/property/shortDescription>                        | 51        |
| <http://purl.org/dc/elements/1.1/description>                         | 51        |
| <http://xmlns.com/foaf/0.1/givenName>                                 | 51        |
| <http://xmlns.com/foaf/0.1/surname>                                   | 50        |
| <http://dbpedia.org/property/dateOfBirth>                             | 48        |
| <http://dbpedia.org/ontology/birthYear>                               | 47        |
| <http://dbpedia.org/ontology/hometown>                                | 44        |
| <http://dbpedia.org/property/years>                                   | 43        |
| <http://dbpedia.org/property/placeOfBirth>                            | 42        |
| <http://dbpedia.org/ontology/releaseDate>                             | 40        |
| <http://dbpedia.org/property/birthDate>                               | 39        |
| <http://dbpedia.org/property/birthPlace>                              | 39        |
| <http://dbpedia.org/property/dateOfDeath>                             | 39        |
| <http://dbpedia.org/property/imageSize>                               | 37        |
| <http://dbpedia.org/ontology/deathYear>                               | 36        |
| <http://dbpedia.org/property/type>                                    | 36        |
| <http://dbpedia.org/ontology/viafId>                                  | 33        |
| <http://dbpedia.org/ontology/wikiPageDisambiguates>                   | 33        |
| <http://dbpedia.org/property/after>                                   | 33        |
| <http://dbpedia.org/property/before>                                  | 33        |
| <http://dbpedia.org/ontology/date>                                    | 31        |
| <http://dbpedia.org/ontology/startDate>                               | 31        |
| <http://dbpedia.org/property/country>                                 | 31        |
| <http://dbpedia.org/property/placeOfDeath>                            | 31        |
| <http://www.w3.org/2000/01/rdf-schema#seeAlso>                        | 31        |
| <http://dbpedia.org/ontology/locationCity>                            | 30        |
| <http://dbpedia.org/ontology/deathPlace>                              | 29        |
| <http://dbpedia.org/property/deathDate>                               | 29        |
| <http://dbpedia.org/property/id>                                      | 29        |
| <http://xmlns.com/foaf/0.1/page>                                      | 29        |
| <http://dbpedia.org/ontology/alias>                                   | 28        |
| <http://dbpedia.org/property/deathPlace>                              | 28        |
| <http://dbpedia.org/ontology/keyPerson>                               | 27        |
| <http://dbpedia.org/property/occupation>                              | 27        |
| <http://dbpedia.org/property/date>                                    | 26        |
| <http://dbpedia.org/ontology/occupation>                              | 25        |
| <http://dbpedia.org/property/location>                                | 25        |
| <http://dbpedia.org/property/_2000pop>                                | 24        |
| <http://dbpedia.org/property/governor>                                | 24        |
| <http://dbpedia.org/property/nationality>                             | 24        |
| <http://dbpedia.org/property/medianhouseholdincome>                   | 23        |
| <http://dbpedia.org/property/spouse>                                  | 22        |
| <http://dbpedia.org/ontology/nationality>                             | 21        |
| <http://dbpedia.org/property/alternativeNames>                        | 21        |
| <http://dbpedia.org/property/genre>                                   | 21        |
| <http://dbpedia.org/property/label>                                   | 21        |
| <http://dbpedia.org/ontology/activeYearsStartYear>                    | 20        |
| <http://dbpedia.org/property/religion>                                | 20        |
| <http://dbpedia.org/ontology/foundingDate>                            | 19        |
| <http://dbpedia.org/ontology/numberOfEmployees>                       | 19        |
| <http://dbpedia.org/property/birthName>                               | 19        |
| <http://dbpedia.org/property/imagesize>                               | 19        |
| <http://dbpedia.org/ontology/netIncome>                               | 18        |
| <http://dbpedia.org/ontology/revenue>                                 | 18        |
| <http://dbpedia.org/property/width>                                   | 18        |
| <http://dbpedia.org/ontology/type>                                    | 17        |
| <http://dbpedia.org/property/language>                                | 17        |
| <http://dbpedia.org/property/nickname>                                | 17        |
| <http://dbpedia.org/property/position>                                | 17        |
| <http://dbpedia.org/property/reference>                               | 17        |
| <http://dbpedia.org/property/almaMater>                               | 16        |
| <http://dbpedia.org/property/released>                                | 16        |
| <http://dbpedia.org/property/successor>                               | 16        |
| <http://www.georss.org/georss/point>                                  | 16        |
| <http://www.w3.org/2002/07/owl#differentFrom>                         | 16        |
| <http://dbpedia.org/property/align>                                   | 15        |
| <http://dbpedia.org/property/children>                                | 15        |
| <http://dbpedia.org/property/city>                                    | 15        |
| <http://dbpedia.org/property/residence>                               | 15        |
| <http://dbpedia.org/ontology/birthName>                               | 14        |
| <http://dbpedia.org/ontology/height>                                  | 14        |
| <http://dbpedia.org/property/artist>                                  | 14        |
| <http://dbpedia.org/property/imageCaption>                            | 14        |
| <http://dbpedia.org/property/knownFor>                                | 14        |
| <http://dbpedia.org/property/owner>                                   | 14        |
| <http://dbpedia.org/property/predecessor>                             | 14        |
| <http://dbpedia.org/property/source>                                  | 14        |
| <http://xmlns.com/foaf/0.1/nick>                                      | 14        |
| <http://dbpedia.org/ontology/Person/height>                           | 13        |
| <http://dbpedia.org/ontology/activeYearsEndYear>                      | 13        |
| <http://dbpedia.org/ontology/recordLabel>                             | 13        |
| <http://dbpedia.org/property/completionDate>                          | 13        |
| <http://dbpedia.org/property/region>                                  | 13        |
| <http://dbpedia.org/property/viaf>                                    | 13        |
| <http://dbpedia.org/ontology/almaMater>                               | 12        |
| <http://dbpedia.org/property/alt>                                     | 12        |
| <http://dbpedia.org/property/architect>                               | 12        |
| <http://dbpedia.org/property/format>                                  | 12        |
