--------------------------------------------------------------------------------
| pred                                                             | frequency |
================================================================================
| <http://www.w3.org/2000/01/rdf-schema#label>                     | 24301     |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                | 21239     |
| <http://xmlns.com/foaf/0.1/homepage>                             | 6881      |
| <http://dbpedia.org/ontology/foundedBy>                          | 6166      |
| <http://dbpedia.org/ontology/location>                           | 4463      |
| <http://dbpedia.org/ontology/city>                               | 4454      |
| <http://dbpedia.org/ontology/iataLocationIdentifier>             | 4453      |
| <http://dbpedia.org/property/cityServed>                         | 4453      |
| <http://dbpedia.org/property/iata>                               | 4453      |
| <http://dbpedia.org/property/nativename>                         | 4453      |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                    | 2790      |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                   | 2790      |
| <http://xmlns.com/foaf/0.1/depiction>                            | 2716      |
| <http://dbpedia.org/ontology/abstract>                           | 2561      |
| <http://dbpedia.org/ontology/thumbnail>                          | 2451      |
| <http://dbpedia.org/ontology/populationTotal>                    | 2417      |
| <http://dbpedia.org/property/disambiguates>                      | 2415      |
| <http://dbpedia.org/property/redirect>                           | 2415      |
| <http://purl.org/dc/terms/subject>                               | 532       |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                     | 349       |
| <http://www.w3.org/2000/01/rdf-schema#comment>                   | 293       |
| <http://dbpedia.org/ontology/wikiPageDisambiguates>              | 289       |
| <http://dbpedia.org/ontology/wikiPageRedirects>                  | 221       |
| <http://xmlns.com/foaf/0.1/name>                                 | 208       |
| <http://dbpedia.org/property/wikiPageUsesTemplate>               | 85        |
| <http://dbpedia.org/ontology/wikiPageID>                         | 60        |
| <http://dbpedia.org/ontology/birthPlace>                         | 56        |
| <http://www.w3.org/2002/07/owl#sameAs>                           | 46        |
| <http://dbpedia.org/ontology/genre>                              | 27        |
| <http://dbpedia.org/ontology/party>                              | 26        |
| <http://dbpedia.org/ontology/hometown>                           | 23        |
| <http://dbpedia.org/property/altsymbols>                         | 23        |
| <http://dbpedia.org/property/mmEntrezgene>                       | 23        |
| <http://dbpedia.org/ontology/refseqmrna>                         | 22        |
| <http://dbpedia.org/ontology/uniprot>                            | 22        |
| <http://dbpedia.org/property/mmRefseqprotein>                    | 22        |
| <http://dbpedia.org/ontology/refseqprotein>                      | 21        |
| <http://dbpedia.org/ontology/symbol>                             | 21        |
| <http://dbpedia.org/property/hsRefseqmrna>                       | 21        |
| <http://dbpedia.org/property/mmRefseqmrna>                       | 21        |
| <http://dbpedia.org/ontology/birthDate>                          | 20        |
| <http://dbpedia.org/ontology/entrezgene>                         | 20        |
| <http://dbpedia.org/ontology/geneLocation>                       | 20        |
| <http://dbpedia.org/property/hsEnsembl>                          | 20        |
| <http://dbpedia.org/property/hsGenlocEnd>                        | 20        |
| <http://dbpedia.org/property/mmGenlocStart>                      | 20        |
| <http://dbpedia.org/property/mmUniprot>                          | 20        |
| <http://dbpedia.org/ontology/deathDate>                          | 19        |
| <http://dbpedia.org/property/homologene>                         | 19        |
| <http://dbpedia.org/property/hsEntrezgene>                       | 19        |
| <http://dbpedia.org/property/hsUniprot>                          | 19        |
| <http://dbpedia.org/property/mmGenlocEnd>                        | 19        |
| <http://dbpedia.org/property/symbol>                             | 19        |
| <http://dbpedia.org/ontology/ensembl>                            | 18        |
| <http://dbpedia.org/property/hsGenlocChr>                        | 18        |
| <http://dbpedia.org/property/hsGenlocStart>                      | 18        |
| <http://dbpedia.org/property/hsRefseqprotein>                    | 18        |
| <http://dbpedia.org/property/mmEnsembl>                          | 18        |
| <http://dbpedia.org/property/mmGenlocChr>                        | 18        |
| <http://dbpedia.org/property/reference>                          | 16        |
| <http://dbpedia.org/ontology/releaseDate>                        | 14        |
| <http://dbpedia.org/ontology/date>                               | 13        |
| <http://dbpedia.org/ontology/startDate>                          | 13        |
| <http://dbpedia.org/ontology/locationCity>                       | 10        |
| <http://dbpedia.org/ontology/wikiPageExternalLink>               | 8         |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                 | 8         |
| <http://dbpedia.org/property/name>                               | 8         |
| <http://dbpedia.org/property/website>                            | 8         |
| <http://xmlns.com/foaf/0.1/page>                                 | 8         |
| <http://dbpedia.org/property/hasPhotoCollection>                 | 7         |
| <http://dbpedia.org/property/isoRegion>                          | 7         |
| <http://dbpedia.org/property/populationCensus>                   | 7         |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                       | 7         |
| <http://www.w3.org/2004/02/skos/core#subject>                    | 6         |
| <http://dbpedia.org/ontology/country>                            | 5         |
| <http://dbpedia.org/ontology/keyPerson>                          | 5         |
| <http://dbpedia.org/property/title>                              | 5         |
| <http://dbpedia.org/property/years>                              | 5         |
| <http://dbpedia.org/ontology/alias>                              | 4         |
| <http://dbpedia.org/ontology/deathPlace>                         | 4         |
| <http://dbpedia.org/ontology/deathYear>                          | 4         |
| <http://dbpedia.org/ontology/foundingDate>                       | 4         |
| <http://dbpedia.org/ontology/influenced>                         | 4         |
| <http://dbpedia.org/ontology/netIncome>                          | 4         |
| <http://dbpedia.org/ontology/numberOfEmployees>                  | 4         |
| <http://dbpedia.org/ontology/occupation>                         | 4         |
| <http://dbpedia.org/ontology/publisher>                          | 4         |
| <http://dbpedia.org/ontology/revenue>                            | 4         |
| <http://dbpedia.org/ontology/successor>                          | 4         |
| <http://dbpedia.org/ontology/viafId>                             | 4         |
| <http://dbpedia.org/property/birthName>                          | 4         |
| <http://dbpedia.org/property/birthPlace>                         | 4         |
| <http://dbpedia.org/property/deathDate>                          | 4         |
| <http://dbpedia.org/property/governor>                           | 4         |
| <http://dbpedia.org/property/influenced>                         | 4         |
| <http://dbpedia.org/property/influences>                         | 4         |
| <http://dbpedia.org/property/placeOfDeath>                       | 4         |
| <http://dbpedia.org/property/populationEstimate>                 | 4         |
| <http://dbpedia.org/property/predecessor>                        | 4         |
| <http://dbpedia.org/property/religion>                           | 4         |
| <http://graves.cl:5002/robots.txt>                               | 4         |
| <http://lsq.aksw.org/res/q-6513b657-var-p>                       | 4         |
| <http://lsq.aksw.org/res/q-a870d283-var-p>                       | 4         |
| <http://lsq.aksw.org/res/q-b6c02bdc-var-p>                       | 4         |
| <http://lsq.aksw.org/res/q-b9f35cfb-var-p>                       | 4         |
| <http://xmlns.com/foaf/0.1/surname>                              | 4         |
| <http://dbpedia.org/ontology/activeYearsStartDate>               | 3         |
| <http://dbpedia.org/ontology/author>                             | 3         |
| <http://dbpedia.org/ontology/birthName>                          | 3         |
| <http://dbpedia.org/ontology/birthYear>                          | 3         |
| <http://dbpedia.org/ontology/education>                          | 3         |
| <http://dbpedia.org/ontology/foundationPlace>                    | 3         |
| <http://dbpedia.org/ontology/influencedBy>                       | 3         |
| <http://dbpedia.org/ontology/isbn>                               | 3         |
| <http://dbpedia.org/ontology/knownFor>                           | 3         |
| <http://dbpedia.org/ontology/nationality>                        | 3         |
| <http://dbpedia.org/ontology/residence>                          | 3         |
| <http://dbpedia.org/ontology/restingPlace>                       | 3         |
| <http://dbpedia.org/ontology/title>                              | 3         |
| <http://dbpedia.org/property/after>                              | 3         |
| <http://dbpedia.org/property/almaMater>                          | 3         |
| <http://dbpedia.org/property/alternativeNames>                   | 3         |
| <http://dbpedia.org/property/before>                             | 3         |
| <http://dbpedia.org/property/birthname>                          | 3         |
| <http://dbpedia.org/property/caption>                            | 3         |
| <http://dbpedia.org/property/children>                           | 3         |
| <http://dbpedia.org/property/dateOfBirth>                        | 3         |
| <http://dbpedia.org/property/dateOfDeath>                        | 3         |
| <http://dbpedia.org/property/deputy>                             | 3         |
| <http://dbpedia.org/property/education>                          | 3         |
| <http://dbpedia.org/property/englishReleaseDate>                 | 3         |
| <http://dbpedia.org/property/gdpNominalYear>                     | 3         |
| <http://dbpedia.org/property/honorificPrefix>                    | 3         |
| <http://dbpedia.org/property/honorificSuffix>                    | 3         |
| <http://dbpedia.org/property/id>                                 | 3         |
| <http://dbpedia.org/property/isbn>                               | 3         |
| <http://dbpedia.org/property/language>                           | 3         |
| <http://dbpedia.org/property/lccn>                               | 3         |
| <http://dbpedia.org/property/nationality>                        | 3         |
| <http://dbpedia.org/property/occupation>                         | 3         |
| <http://dbpedia.org/property/office>                             | 3         |
| <http://dbpedia.org/property/pages>                              | 3         |
| <http://dbpedia.org/property/parliament>                         | 3         |
| <http://dbpedia.org/property/party>                              | 3         |
| <http://dbpedia.org/property/placeOfBirth>                       | 3         |
| <http://dbpedia.org/property/releaseDate>                        | 3         |
| <http://dbpedia.org/property/rows>                               | 3         |
| <http://dbpedia.org/property/shortDescription>                   | 3         |
| <http://dbpedia.org/property/spouse>                             | 3         |
| <http://dbpedia.org/property/termEnd>                            | 3         |
| <http://dbpedia.org/property/termStart>                          | 3         |
| <http://dbpedia.org/property/viaf>                               | 3         |
| <http://dbpedia.org/property/wordnet_type>                       | 3         |
| <http://purl.org/dc/elements/1.1/description>                    | 3         |
| <http://xmlns.com/foaf/0.1/givenName>                            | 3         |
| <http://dbpedia.org/ontology/activeYearsEndDate>                 | 2         |
| <http://dbpedia.org/ontology/activeYearsEndYear>                 | 2         |
| <http://dbpedia.org/ontology/activeYearsStartYear>               | 2         |
| <http://dbpedia.org/ontology/allegiance>                         | 2         |
| <http://dbpedia.org/ontology/almaMater>                          | 2         |
| <http://dbpedia.org/ontology/award>                              | 2         |
| <http://dbpedia.org/ontology/background>                         | 2         |
| <http://dbpedia.org/ontology/child>                              | 2         |
| <http://dbpedia.org/ontology/deputy>                             | 2         |
| <http://dbpedia.org/ontology/electionMajority>                   | 2         |
| <http://dbpedia.org/ontology/keyPersonPosition>                  | 2         |
| <http://dbpedia.org/ontology/lccnId>                             | 2         |
| <http://dbpedia.org/ontology/militaryUnit>                       | 2         |
| <http://dbpedia.org/ontology/movement>                           | 2         |
| <http://dbpedia.org/ontology/networth>                           | 2         |
| <http://dbpedia.org/ontology/office>                             | 2         |
| <http://dbpedia.org/ontology/orderInOffice>                      | 2         |
| <http://dbpedia.org/ontology/otherParty>                         | 2         |
| <http://dbpedia.org/ontology/parent>                             | 2         |
| <http://dbpedia.org/ontology/personFunction>                     | 2         |
| <http://dbpedia.org/ontology/primeMinister>                      | 2         |
| <http://dbpedia.org/ontology/profession>                         | 2         |
| <http://dbpedia.org/ontology/relation>                           | 2         |
| <http://dbpedia.org/ontology/religion>                           | 2         |
| <http://dbpedia.org/ontology/serviceEndYear>                     | 2         |
| <http://dbpedia.org/ontology/soundRecording>                     | 2         |
| <http://dbpedia.org/ontology/spouse>                             | 2         |
| <http://dbpedia.org/ontology/stateOfOrigin>                      | 2         |
| <http://dbpedia.org/ontology/termPeriod>                         | 2         |
| <http://dbpedia.org/property/align>                              | 2         |
| <http://dbpedia.org/property/alongside>                          | 2         |
| <http://dbpedia.org/property/awards>                             | 2         |
| <http://dbpedia.org/property/background>                         | 2         |
| <http://dbpedia.org/property/battles>                            | 2         |
| <http://dbpedia.org/property/bbc>                                | 2         |
| <http://dbpedia.org/property/bgcolor>                            | 2         |
| <http://dbpedia.org/property/birthDate>                          | 2         |
| <http://dbpedia.org/property/border>                             | 2         |
| <http://dbpedia.org/property/commonName>                         | 2         |
| <http://dbpedia.org/property/country>                            | 2         |
| <http://dbpedia.org/property/credits>                            | 2         |
| <http://dbpedia.org/property/deathPlace>                         | 2         |
| <http://dbpedia.org/property/field>                              | 2         |
| <http://dbpedia.org/property/footnotes>                          | 2         |
| <http://dbpedia.org/property/format>                             | 2         |
| <http://dbpedia.org/property/genre>                              | 2         |
| <http://dbpedia.org/property/halign>                             | 2         |
| <http://dbpedia.org/property/hansardcurr>                        | 2         |
| <http://dbpedia.org/property/imageCaption>                       | 2         |
| <http://dbpedia.org/property/imageSize>                          | 2         |
| <http://dbpedia.org/property/imagesize>                          | 2         |
| <http://dbpedia.org/property/knownFor>                           | 2         |
| <http://dbpedia.org/property/label>                              | 2         |
| <http://dbpedia.org/property/laterwork>                          | 2         |
| <http://dbpedia.org/property/leader>                             | 2         |
| <http://dbpedia.org/property/majority>                           | 2         |
| <http://dbpedia.org/property/medianhouseholdincome>              | 2         |
| <http://dbpedia.org/property/networth>                           | 2         |
| <http://dbpedia.org/property/notableworks>                       | 2         |
| <http://dbpedia.org/property/origin>                             | 2         |
| <http://dbpedia.org/property/otherparty>                         | 2         |
| <http://dbpedia.org/property/pnd>                                | 2         |
| <http://dbpedia.org/property/politicalParty>                     | 2         |
| <http://dbpedia.org/property/popMunicipality>                    | 2         |
| <http://dbpedia.org/property/president>                          | 2         |
| <http://dbpedia.org/property/primeminister>                      | 2         |
| <http://dbpedia.org/property/producer>                           | 2         |
| <http://dbpedia.org/property/profession>                         | 2         |
| <http://dbpedia.org/property/publicwhip>                         | 2         |
| <http://dbpedia.org/property/quote>                              | 2         |
| <http://dbpedia.org/property/rank>                               | 2         |
| <http://dbpedia.org/property/record>                             | 2         |
| <http://dbpedia.org/property/region>                             | 2         |
| <http://dbpedia.org/property/relations>                          | 2         |
| <http://dbpedia.org/property/residence>                          | 2         |
| <http://dbpedia.org/property/signature>                          | 2         |
| <http://dbpedia.org/property/successor>                          | 2         |
| <http://dbpedia.org/property/theywork>                           | 2         |
| <http://dbpedia.org/property/type>                               | 2         |
| <http://dbpedia.org/property/width>                              | 2         |
| <http://dbpedia.org/property/wikt>                               | 2         |
| <http://dbpedia.org/property/with>                               | 2         |
| <http://dbpedia.org/property/yearsActive>                        | 2         |
| <http://graves.cl:5002/demo/places_in_rensselaer_county_by_area> | 2         |
| <http://graves.cl:5002/links.htm>                                | 2         |
| <http://lsq.aksw.org/res/q-00f6a9f6-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-178b0f4d-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-1a7be58e-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-217f0278-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p4>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p7>                      | 2         |
| <http://lsq.aksw.org/res/q-2daf5cb7-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-4e8e3919-var-p1>                      | 2         |
