--------------------------------------------------------------------
| pred                                                 | frequency |
====================================================================
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>    | 21147     |
| <http://www.w3.org/2000/01/rdf-schema#label>         | 2885      |
| <http://xmlns.com/foaf/0.1/homepage>                 | 1206      |
| <http://dbpedia.org/ontology/city>                   | 1203      |
| <http://dbpedia.org/ontology/iataLocationIdentifier> | 1203      |
| <http://dbpedia.org/ontology/location>               | 1203      |
| <http://dbpedia.org/property/cityServed>             | 1203      |
| <http://dbpedia.org/property/iata>                   | 1203      |
| <http://dbpedia.org/property/nativename>             | 1203      |
| <http://dbpedia.org/ontology/abstract>               | 154       |
| <http://dbpedia.org/ontology/derivative>             | 96        |
| <http://dbpedia.org/ontology/musicSubgenre>          | 96        |
| <http://dbpedia.org/ontology/stylisticOrigin>        | 96        |
| <http://www.w3.org/2000/01/rdf-schema#comment>       | 79        |
| <http://dbpedia.org/ontology/birthPlace>             | 75        |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>         | 65        |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>        | 57        |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>       | 57        |
| <http://dbpedia.org/ontology/wikiPageRedirects>      | 55        |
| <http://xmlns.com/foaf/0.1/depiction>                | 54        |
| <http://www.w3.org/2002/07/owl#sameAs>               | 23        |
| <http://dbpedia.org/ontology/genre>                  | 21        |
| <http://dbpedia.org/ontology/party>                  | 21        |
| <http://purl.org/dc/terms/subject>                   | 21        |
| <http://xmlns.com/foaf/0.1/name>                     | 19        |
| <http://dbpedia.org/ontology/thumbnail>              | 13        |
| <http://dbpedia.org/property/populationCensus>       | 13        |
| <http://dbpedia.org/ontology/country>                | 12        |
| <http://dbpedia.org/ontology/birthDate>              | 11        |
| <http://dbpedia.org/ontology/president>              | 11        |
| <http://dbpedia.org/property/gdpNominal>             | 11        |
| <http://dbpedia.org/property/gdpNominalYear>         | 11        |
| <http://dbpedia.org/property/populationEstimate>     | 11        |
| <http://dbpedia.org/ontology/mountainRange>          | 10        |
| <http://dbpedia.org/property/longitude>              | 10        |
| <http://dbpedia.org/property/name>                   | 8         |
| <http://dbpedia.org/ontology/deathDate>              | 7         |
| <http://dbpedia.org/ontology/spouse>                 | 7         |
